Candidate,CAND_ID,District,Party,State,Emily Endorsed?,Partisan Lean,TTL_RECEIPTS,TRANS_FROM_AUTH,CAND_CONTRIB,TTL_INDIV_CONTRIB,OTHER_POL_CMTE_CONTRIB,Primary %,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,Party Support?,Trump Endorsed?,Bannon Endorsed?,Great America Endorsed?,NRA Endorsed?,Right to Life Endorsed?,Susan B. Anthony Endorsed?,Club for Growth Endorsed?,Koch Support?,House Freedom Support?,Tea Party Endorsed?,Main Street Endorsed?,Chamber Endorsed?,Race Type,CAND_ICI,Num_Unique_Contributions
Martha McSally,S8AZ00221,U.S. Senate Arizona,R,AZ,-1.0,-24.559998999999998,21876369.89,2639582.66,0.0,16892830.21,1257746.62,53.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Regular,O,6281
Lea Marquez Peterson,H8AZ02185,U.S. House Arizona District 2,R,AZ,-1.0,-24.559998999999998,1466445.23,73653.36,0.0,1105238.11,254050.0,33.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Regular,O,454
Casey Welch,H8AZ02193,U.S. House Arizona District 2,R,AZ,-1.0,-24.559998999999998,14846.7,0.0,13446.7,1400.0,0.0,21.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Regular,O,3
Brandon Martin,H8AZ02201,U.S. House Arizona District 2,R,AZ,-1.0,-24.559998999999998,39639.59,0.0,875.59,38319.48,0.0,29.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Regular,O,35
Edna San Miguel,H6AZ03179,U.S. House Arizona District 3,R,AZ,-1.0,-24.559998999999998,13088.28,0.0,450.0,11540.0,0.0,21.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,2
Sergio Arellano,H8AZ03142,U.S. House Arizona District 3,R,AZ,-1.0,-24.559998999999998,40346.71,0.0,3481.52,36840.19,0.0,27.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,31
Nicolas Pierson,H8AZ03159,U.S. House Arizona District 3,R,AZ,-1.0,-24.559998999999998,77401.0,0.0,0.0,70267.0,1500.0,51.4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,10
Brianna Westbrook,H8AZ08059,U.S. House Arizona District 8,D,AZ,0.0,-24.559998999999998,42870.67,0.0,275.0,39170.67,250.0,39.720001,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Special,O,6
Hiral Tipirneni,H8AZ08083,U.S. House Arizona District 8,D,AZ,0.0,-24.559998999999998,4579945.1,0.0,23593.05,4279324.0,206952.6,60.220001,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Special,O,625
Phil Lovas,H8AZ08133,U.S. House Arizona District 8,R,AZ,-1.0,-24.559998999999998,318412.83,0.0,5806.43,251617.0,15250.0,23.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,Special,O,180
Debbie Lesko,H8AZ08158,U.S. House Arizona District 8,R,AZ,-1.0,-24.559998999999998,2103473.83,2359.84,1703.59,1450890.6,543415.08,35.77,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Special,I,322
Steve Montenegro,H8AZ08174,U.S. House Arizona District 8,R,AZ,-1.0,-24.559998999999998,356446.69,0.0,0.0,321446.69,35000.0,23.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,Special,O,64
Richard Mack,H8AZ08190,U.S. House Arizona District 8,R,AZ,-1.0,-24.559998999999998,72709.69,0.0,8232.0,40277.69,0.0,1.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,Special,O,25
Irina Baroness Von Behr,H8AZ09016,U.S. House Arizona District 9,R,AZ,-1.0,-24.559998999999998,21989.38,0.0,150.0,1020.0,0.0,7.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,O,3
Steve Ferrara,H8AZ09024,U.S. House Arizona District 9,R,AZ,-1.0,-24.559998999999998,1565927.76,0.0,11676.66,1193601.1,270650.0,58.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,O,719
Jessica Holcombe,H8CA01190,U.S. House California District 1,D,CA,0.0,-21.379998999999998,290020.57,0.0,104.0,288416.57,0.0,28.540001,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,244
Marty Walters,H8CA01208,U.S. House California District 1,D,CA,0.0,-21.379998999999998,68655.53,0.0,16940.52,49715.01,2000.0,20.51,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,53
Audrey Denney,H8CA01257,U.S. House California District 1,D,CA,0.0,-21.379998999999998,1097584.95,0.0,0.0,1051203.75,38045.2,43.650002,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,159
Regina Bateson,H8CA04194,U.S. House California District 4,D,CA,0.0,-18.16,804901.59,0.0,1766.99,794000.5,0.0,30.07,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,746
Roza Calderon,H8CA04202,U.S. House California District 4,D,CA,0.0,-18.16,97376.41,0.0,0.0,42376.41,0.0,15.57,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,19
Jessica Morse,H8CA04210,U.S. House California District 4,D,CA,0.0,-18.16,3813237.37,157804.39,231.81,3432526.88,218561.69,49.099998,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,804
Andrew Grant,H8CA07056,U.S. House California District 7,R,CA,-1.0,-7.729106964285712,566014.2,11773.74,25.0,517784.13,33650.0,69.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Regular,C,249
Yona Barash,H8CA07072,U.S. House California District 7,R,CA,-1.0,-7.729106964285712,321947.52,0.0,7506.24,174331.5,0.0,30.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Regular,C,160
Marge Doyle,H8CA08112,U.S. House California District 8,D,CA,0.0,-17.33,421369.75,0.0,2018.0,399748.08,3859.8,59.610001000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,343
Marla Livengood,H8CA09144,U.S. House California District 9,R,CA,-1.0,-7.729106964285712,99966.73,0.0,0.0,97503.62,1500.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,43
Dotty Nygard,H8CA10118,U.S. House California District 10,D,CA,-1.0,0.62,68767.16,0.0,0.0,63413.21,3000.0,1.89,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,51
Josh Harder,H8CA10126,U.S. House California District 10,D,CA,-1.0,0.62,8441529.09,651463.29,0.0,7411079.72,350099.9,35.57,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1218
Virginia Madueno,H8CA10175,U.S. House California District 10,D,CA,1.0,0.62,355454.26,0.0,2402.56,313931.7,29000.0,19.17,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,202
Sue Zwahlen,H8CA10183,U.S. House California District 10,D,CA,-1.0,0.62,840266.61,0.0,366402.78,112972.7,0.0,17.049999,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,120
Lisa Remmer,H8CA12270,U.S. House California District 12,R,CA,-1.0,-7.729106964285712,22442.61,0.0,0.0,11442.61,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,4
Rudy Peters,H8CA15117,U.S. House California District 15,R,CA,-1.0,-7.729106964285712,56807.88,0.0,115.0,39399.43,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,4
Andrew Janz,H8CA22139,U.S. House California District 22,D,CA,0.0,-13.41,9233869.01,145709.04,0.0,8957855.58,116743.71,78.83000200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1669
Ricardo Franco,H8CA22147,U.S. House California District 22,D,CA,0.0,-13.41,51123.99,0.0,4542.0,44863.53,1000.0,8.909999800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,39
Bobby Bliatout,H8CA22154,U.S. House California District 22,D,CA,0.0,-13.41,394178.67,0.0,205831.61,105154.47,0.0,12.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,89
Tatiana Matta,H8CA23103,U.S. House California District 23,D,CA,0.0,-25.379998999999998,116057.86,0.0,1418.36,94708.04,19825.0,42.720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,17
Kurtis Wilson,H8CA23111,U.S. House California District 23,D,CA,0.0,-25.379998999999998,12040.87,0.0,480.14,8348.0,0.0,4.8400002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1
Mary Helen Barro,H8CA23129,U.S. House California District 23,D,CA,0.0,-25.379998999999998,12509.54,0.0,11855.54,654.0,0.0,18.200001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1
Michael Erin Woody,H8CA24150,U.S. House California District 24,R,CA,-1.0,-7.729106964285712,163325.76,0.0,0.0,19600.0,1000.0,21.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,12
Mary Pallant,H6CA24246,U.S. House California District 25,D,CA,-1.0,2.02,8295.09,0.0,3338.09,2257.0,0.0,5.54,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,2
Jess Phoenix,H8CA25082,U.S. House California District 25,D,CA,-1.0,2.02,495219.91,0.0,2645.7,483087.19,3850.0,13.24,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,331
Antonio Sabato Jr.,H8CA26114,U.S. House California District 26,R,CA,-1.0,-7.729106964285712,350222.64,0.0,22021.3,301677.44,25000.0,53.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,132
Johnny Nalbandian,H8CA28185,U.S. House California District 28,R,CA,-1.0,-7.729106964285712,36370.0,0.0,2000.0,24370.0,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,11
Sean Flynn,H6CA31134,U.S. House California District 31,R,CA,-1.0,-7.729106964285712,1363972.31,0.0,217228.04,429890.9,50104.68,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,147
Kenneth Wright,H6CA33106,U.S. House California District 33,R,CA,-1.0,-7.729106964285712,164786.01,0.0,0.0,116837.26,449.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,67
Dan Ball,H8CA36162,U.S. House California District 36,R,CA,-1.0,-7.729106964285712,19259.0,0.0,0.0,19259.0,0.0,17.39,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,22
Kimberlin Brown Pelzer,H8CA36170,U.S. House California District 36,R,CA,-1.0,-7.729106964285712,844037.02,2359.84,0.0,756247.18,85038.05,51.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,252
Stephan Wolkowicz,H8CA36188,U.S. House California District 36,R,CA,-1.0,-7.729106964285712,15038.32,0.0,10220.32,205.0,0.0,10.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,1
Doug Hassett,H8CA36204,U.S. House California District 36,R,CA,-1.0,-7.729106964285712,13383.37,0.0,0.0,11796.0,0.0,11.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,11
Ron Bassilian,H8CA37293,U.S. House California District 34,R,CA,-1.0,-7.729106964285712,10387.55,0.0,510.0,6127.55,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,2
Mai Khanh Tran,H8CA39158,U.S. House California District 39,D,CA,1.0,2.99,1549901.96,19624.26,0.0,719047.06,27600.0,11.69,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,405
Sam Jammal,H8CA39166,U.S. House California District 39,D,CA,-1.0,2.99,577017.47,0.0,5412.86,561358.86,7200.0,11.98,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,644
Gil Cisneros,H8CA39174,U.S. House California District 39,D,CA,-1.0,2.99,12265194.02,464859.65,52761.86,2179631.66,83908.2,43.23,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,342
Andy Thorburn,H8CA39182,U.S. House California District 39,D,CA,-1.0,2.99,3161418.81,0.0,26000.0,272314.92,0.0,20.440001000000002,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,155
Suzi Park Leggett,H8CA39257,U.S. House California District 39,D,CA,-1.0,2.99,43295.81,0.0,0.0,43295.81,0.0,3.24,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,O,26
Andrew Sarega,H8CA39216,U.S. House California District 39,R,CA,-1.0,2.99,35835.0,0.0,0.0,835.0,0.0,1.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Regular,O,1
Bob Huff,H8CA39224,U.S. House California District 39,R,CA,-1.0,2.99,694241.17,0.0,85900.0,504141.67,4199.5,11.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Regular,O,309
Shawn Nelson,H8CA39232,U.S. House California District 39,R,CA,-1.0,2.99,694900.84,0.0,0.0,676069.84,16748.0,12.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Regular,O,424
Young Kim,H8CA39240,U.S. House California District 39,R,CA,-1.0,2.99,2907665.64,0.0,0.0,2322247.02,570250.71,39.79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,Regular,O,677
Steve Vargas,H8CA39281,U.S. House California District 39,R,CA,-1.0,2.99,47325.0,0.0,0.0,12325.0,0.0,5.29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Regular,O,5
Phil Liberatore,H8CA39307,U.S. House California District 39,R,CA,-1.0,2.99,250772.0,0.0,0.0,152372.0,0.0,21.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,Regular,O,84
Aja Smith,H8CA41170,U.S. House California District 41,R,CA,-1.0,-7.729106964285712,43984.88,0.0,0.0,41964.88,0.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,14
Julia Peacock,H8CA42228,U.S. House California District 42,D,CA,0.0,-15.31,159046.35,0.0,0.0,153292.78,4709.54,76.019997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,75
Norman Quintero,H8CA42244,U.S. House California District 42,D,CA,0.0,-15.31,136211.3,0.0,250.0,11954.57,0.0,23.98,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,12
Edwin Duterte,H8CA43135,U.S. House California District 43,R,CA,-1.0,-7.729106964285712,18509.76,0.0,1574.76,16935.0,0.0,16.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,11
Frank DeMartini,H8CA43143,U.S. House California District 43,R,CA,-1.0,-7.729106964285712,39192.04,0.0,274.19,34902.79,0.0,27.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,29
Stacey Dash,H8CA44109,U.S. House California District 44,R,CA,-1.0,-7.729106964285712,44730.13,0.0,0.0,42234.13,2000.0,41.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,35
Dave Min,H8CA45148,U.S. House California District 45,D,CA,-1.0,-1.4299998999999999,1236926.94,0.0,5400.0,1172259.32,56050.0,38.740002000000004,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,1080
Kia Hamadanchy,H8CA45155,U.S. House California District 45,D,CA,-1.0,-1.4299998999999999,655052.65,0.0,0.0,643822.81,11000.0,4.150000100000001,0.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,695
Brian Forde,H8CA45189,U.S. House California District 45,D,CA,-1.0,-1.4299998999999999,1701475.61,0.0,5400.0,1674530.55,12500.0,13.06,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,857
David Clifford,H8CA47060,U.S. House California District 47,R,CA,-1.0,-7.729106964285712,25680.4,0.0,1.0,14856.4,0.0,45.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,13
John Briscoe,H8CA47078,U.S. House California District 47,R,CA,-1.0,-7.729106964285712,54713.56,0.0,5148.56,8565.0,1000.0,54.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular,C,1
Harley Rouda,H8CA48035,U.S. House California District 48,D,CA,-1.0,-4.1799998,8749389.97,485507.36,55500.0,5942200.51,558821.0,37.599998,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,658
Laura Oatman,H8CA48043,U.S. House California District 48,D,CA,-1.0,-4.1799998,244289.89,0.0,13197.23,222920.66,0.0,3.01,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,175
Hans Keirstead,H8CA48076,U.S. House California District 48,D,CA,-1.0,-4.1799998,2178356.89,0.0,155400.0,974382.28,29700.0,37.439999,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,565
Omar Siddiqui,H8CA48084,U.S. House California District 48,D,CA,-1.0,-4.1799998,1178676.74,0.0,241849.27,186827.47,0.0,10.81,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Regular,C,106
